BOUNCE COUNT,TIME
1,0.47806811332702637
2,1.1979396343231201
3,1.8364734649658203
4,2.4897308349609375
5,3.2809269428253174
6,4.258230209350586
7,5.14743709564209
8,5.82738995552063
9,6.596842288970947
10,7.277527809143066
11,7.946034669876099
12,8.535729169845581
13,8.80389142036438
14,9.151673793792725
15,9.787664890289307
16,10.50061821937561
17,11.260748386383057
18,11.97590446472168
